epoch,loss,val_loss
1.0,4.642507476635664,96.78284755396464
2.0,1.9227133058456785,12.347691359974087
3.0,1.6887820296553502,150.24001245839256
4.0,1.2894187852205985,46.465951703843615
5.0,1.3759362593115088,64.30898180651286
6.0,1.078140399044016,11.606388716470628
7.0,0.9563111156462674,118.42049527925158
8.0,0.7910397424254997,8.222529148298596
9.0,0.9040679794947702,34.405967738893295
10.0,0.7401061089657455,2.075436928915599
11.0,0.777813522508776,3.870829249185229
12.0,0.8392960404480002,2.3690080264258007
13.0,0.7374542036587262,2.1182374121650818
14.0,0.7736557267561733,2.570735768666343
15.0,0.618398827778925,2.221505588955349
16.0,0.6298058632152727,1.9426470711117696
17.0,0.5476509116782966,2.81779822849092
18.0,0.6288159795669446,2.139057144286141
19.0,0.6792539786621631,2.021209200223287
20.0,0.5375972481563213,2.1152324827890547
21.0,0.6106270620658756,1.8025398613914607
22.0,0.5681944431818695,13.3667442363406
23.0,0.5294515885694687,2.6633209671292986
24.0,0.5537651108978576,2.1531996916210843
25.0,0.5266756873607517,2.005517354087224
26.0,0.5625436801344631,2.043165445327759
27.0,0.5412340462356212,1.7430248563251798
28.0,0.4584309583255256,2.1034211847517224
29.0,0.4561343667416488,2.249667898056999
30.0,0.46223598137958,2.34118812424796
31.0,0.526149174560277,2.352169483427017
32.0,0.3914495751287684,2.228236387646388
33.0,0.4930225246738034,2.188725545292809
34.0,0.417787558979826,2.3139094871187966
35.0,0.3891036663514254,1.825619411846948
36.0,0.3843199128500256,1.5399633589245023
37.0,0.3968837803927253,1.9231629466253608
38.0,0.3206976382414331,1.7481291559007432
39.0,0.3691951695493834,1.5168503768860349
40.0,0.3602684569819663,2.3818165726131864
41.0,0.2893777106929407,2.4431756413172163
42.0,0.3673317215926722,2.432768976877606
43.0,0.2948243077849019,2.472125060974605
44.0,0.351151482074566,2.152307385490054
45.0,0.3499528009396239,2.002331533129253
46.0,0.2591912949270387,2.5602778404478044
47.0,0.2946253241804165,2.2767189741134644
48.0,0.3416872095799934,2.163223117116898
49.0,0.3559724220651687,1.6674503598894392
50.0,0.29804918355451326,2.2235397062604387
